scheme_code,nav_value,date
119517,31.7787,2023-05-26
119517,32.0987,2023-05-29
119517,32.1391,2023-05-30
119517,31.8482,2023-05-31
119517,31.5395,2023-06-01
119517,31.8501,2023-06-02
119517,32.4463,2023-06-05
119517,32.3382,2023-06-06
150930,9.9211,2022-12-23
150930,9.8374,2022-12-26
150930,9.8506,2022-12-27
150930,9.7964,2022-12-28
150930,9.804,2022-12-29
150930,9.7752,2022-12-30
150930,9.8314,2023-01-12
150930,9.8293,2023-01-13
150930,9.8219,2023-01-16
150930,9.8515,2023-01-19
150930,9.7802,2023-01-20
150930,9.8665,2023-01-23
150930,9.77,2023-01-24
150930,9.6511,2023-01-25
150930,9.7028,2023-01-27
150930,9.6833,2023-01-30
150930,9.5846,2023-02-01
150930,9.5466,2023-02-02
150930,9.4563,2023-02-03
150930,9.4626,2023-02-06
150930,9.4612,2023-02-07
150930,9.6068,2023-02-08
150930,9.5645,2023-02-09
150930,9.5832,2023-02-10
150930,9.5373,2023-02-13
150930,9.5225,2023-02-14
150930,9.5134,2023-02-15
150930,9.5611,2023-02-16
150930,9.4558,2023-02-17
150930,9.3796,2023-02-20
150930,9.3509,2023-02-21
150930,9.3292,2023-02-22
150930,9.3108,2023-02-23
150930,9.3325,2023-02-24
150930,9.2599,2023-02-27
150930,9.1398,2023-02-28
150930,9.153,2023-03-01
150930,9.1502,2023-03-02
150930,9.166,2023-03-03
150930,9.1856,2023-03-06
150930,9.1408,2023-03-08
150930,9.1022,2023-03-09
150930,9.0895,2023-03-10
150930,9.0221,2023-03-13
150930,9.0223,2023-03-14
150930,9.0501,2023-03-15
150930,9.1338,2023-03-16
150930,9.0817,2023-03-17
150930,9.0715,2023-03-20
150930,9.0483,2023-03-21
150930,9.1418,2023-03-22
150930,9.1619,2023-03-23
150930,9.1419,2023-03-24
150930,9.2413,2023-03-27
150930,9.2336,2023-03-28
150930,9.2865,2023-03-29
150930,9.3441,2023-03-31
150930,9.3834,2023-04-03
150930,9.4717,2023-04-05
150930,9.5423,2023-04-06
150930,9.5593,2023-04-10
150930,9.5596,2023-04-11
150930,9.7735,2023-04-12
150930,9.6979,2023-04-13
150930,9.6388,2023-04-17
150930,9.7961,2023-04-18
150930,9.8097,2023-04-19
150930,9.7024,2023-04-20
150930,9.7486,2023-04-21
